permno,ticker,comnam,namedt,nameenddt
16000,LSXMK,LIBERTY MEDIA CORP 3RD NEW,2023-08-04,2024-09-09
63765,SWN,SOUTHWESTERN ENERGY CO,2020-03-19,2024-09-30
83906,SRCL,STERICYCLE INC,1996-08-23,2024-11-01
15069,MRO,MARATHON OIL CORP,2021-04-01,2024-11-21
14763,CTLT,CATALENT INC,2014-07-31,2024-12-17
15859,AGR,AVANGRID INC,2015-12-17,2024-12-20
11955,WM,WASTE MANAGEMENT INC DEL,2009-08-05,2024-12-31
13511,PANW,PALO ALTO NETWORKS INC,2021-10-25,2024-12-31
92655,UNH,UNITEDHEALTH GROUP INC,2000-04-27,2024-12-31
89971,TPX,TEMPUR SEALY INTERNATIONAL INC,2021-03-31,2024-12-31
10145,HON,HONEYWELL INTERNATIONAL INC,2021-05-11,2024-12-31
11850,XOM,EXXON MOBIL CORP,2024-07-01,2024-12-31
13527,FIVE,FIVE BELOW INC,2012-07-19,2024-12-31
92611,V,VISA INC,2020-11-27,2024-12-31
90808,EXPE,EXPEDIA GROUP INC,2018-03-27,2024-12-31
12473,KNX,KNIGHT SWIFT TRANSPORT HDLGS INC,2017-09-11,2024-12-31
87541,PKG,PACKAGING CORP AMERICA,2021-03-31,2024-12-31
90829,CF,C F INDUSTRIES HOLDINGS INC,2005-08-11,2024-12-31
90071,NRG,N R G ENERGY INC,2021-04-05,2024-12-31
90038,AIZ,ASSURANT INC,2020-10-13,2024-12-31
11891,MGM,M G M RESORTS INTERNATIONAL,2021-03-31,2024-12-31
87657,EW,EDWARDS LIFESCIENCES CORP,2006-06-30,2024-12-31
90925,FNF,FIDELITY NATIONAL FINL INC NEW,2021-03-31,2024-12-31
92614,AWK,AMERICAN WATER WORKS CO INC,2008-04-23,2024-12-31
90880,AMP,AMERIPRISE FINANCIAL INC,2024-06-25,2024-12-31
90866,LBTYK,LIBERTY GLOBAL LTD,2023-11-24,2024-12-31
91907,SMCI,SUPER MICRO COMPUTER INC,2024-10-01,2024-12-31
90162,GNW,GENWORTH FINANCIAL INC,2024-06-07,2024-12-31
