date,xs_std,p90_p10,iqr,n,year
2020-02-28,0.091360857577731,0.15531,0.072322,499.0,2020
2020-03-31,0.1318081670841749,0.3129081999999999,0.16351175,500.0,2020
2020-04-30,0.1239374554654927,0.2677657,0.1332269999999999,498.0,2020
2020-05-29,0.1049254058151153,0.209198,0.10678425,500.0,2020
2020-06-30,0.1013653434573871,0.175065,0.0911202499999999,500.0,2020
2020-07-31,0.0980624343292134,0.2155992,0.1069685,499.0,2020
2020-08-31,0.089010821423396,0.1801554,0.0888355,499.0,2020
2020-09-30,0.0919742248575701,0.1574202,0.071167,498.0,2020
2020-10-30,0.092239571906586,0.2039944,0.09464275,500.0,2020
2020-11-30,0.1507041333033278,0.2885792,0.14383125,498.0,2020
2020-12-31,0.0835535639268201,0.16561,0.084413,497.0,2020
2021-01-29,0.7362283158605273,0.1844513,0.08743375,498.0,2021
2021-02-26,0.1118924626681012,0.2730389,0.143735,500.0,2021
2021-03-31,0.0971000045988315,0.2083477,0.0992774999999999,498.0,2021
2021-04-30,0.0677433102503484,0.1602937,0.0777195,498.0,2021
2021-05-28,0.0666301176312108,0.1477353,0.0719005,500.0,2021
2021-06-30,0.1024000500318331,0.1860273,0.09089175,500.0,2021
2021-07-30,0.076013936954097,0.1683034,0.089288,499.0,2021
2021-08-31,0.0897231485328588,0.1668549,0.08208775,500.0,2021
2021-09-30,0.0713910106187007,0.1558754,0.078223,499.0,2021
2021-10-29,0.0962667269008347,0.2019683,0.0991895,500.0,2021
2021-11-30,0.1000939700046376,0.1863177999999999,0.0889085,499.0,2021
2021-12-31,0.0858811475295189,0.1906168,0.089752,500.0,2021
2022-01-31,0.1064076513668648,0.2570469000000001,0.13454,500.0,2022
2022-02-28,0.0902791324321425,0.1928353999999999,0.1013205,499.0,2022
2022-03-31,0.0952594213413866,0.2135483,0.11276375,500.0,2022
2022-04-29,0.092700978508787,0.226888,0.1168524999999999,499.0,2022
2022-05-31,0.097522558794663,0.2025112,0.0923325,499.0,2022
2022-06-30,0.0823789309634669,0.2067574,0.10633025,500.0,2022
2022-07-29,0.0894611152540611,0.2062175,0.110041,500.0,2022
2022-08-31,0.0843228739074575,0.1734154,0.0831285,499.0,2022
2022-09-30,0.0668780250119001,0.1525272,0.0732589999999999,499.0,2022
2022-10-31,0.0937051012577988,0.2147048,0.1173639999999999,500.0,2022
2022-11-30,0.0915169255134203,0.1979292,0.083358,499.0,2022
2022-12-30,0.0663062999960595,0.1492288,0.0747225,500.0,2022
2023-01-31,0.1028222635653916,0.2430455999999999,0.124139,499.0,2023
2023-02-28,0.0653822621852824,0.1483892,0.07274475,500.0,2023
2023-03-31,0.085075643852236,0.1929040000000001,0.085176,500.0,2023
2023-04-28,0.0690304445917812,0.1631815,0.0804604999999999,500.0,2023
2023-05-31,0.1244286225503214,0.2407394,0.097884,499.0,2023
2023-06-30,0.0759739166447575,0.1708455,0.09229525,500.0,2023
2023-07-31,0.0788685553235524,0.1736268,0.0847127499999999,500.0,2023
2023-08-31,0.0795281029106307,0.1620121,0.08333025,500.0,2023
2023-09-29,0.0555338557808678,0.1350953,0.06107825,500.0,2023
2023-10-31,0.0706350338420778,0.162045,0.084064,499.0,2023
2023-11-30,0.1005135023529451,0.2203870000000001,0.090236,500.0,2023
2023-12-29,0.0842334078913269,0.1872067,0.0968675,500.0,2023
2024-01-31,0.0812958938699684,0.1556023999999999,0.08073575,500.0,2024
2024-02-29,0.1122768958025225,0.2071983,0.0986265,500.0,2024
2024-03-28,0.0752719326769696,0.1539007,0.0729175,500.0,2024
2024-04-30,0.068782472366502,0.1563785999999999,0.087852,499.0,2024
2024-05-31,0.0857354432355397,0.184303,0.08222975,500.0,2024
2024-06-28,0.0749140806944292,0.1520959,0.0653625,500.0,2024
2024-07-31,0.0901855765704182,0.2133316,0.1056005,499.0,2024
2024-08-30,0.079319339035554,0.16487,0.07455375,500.0,2024
2024-09-30,0.0770628755410669,0.1423436,0.07069225,500.0,2024
2024-10-31,0.0847793268412285,0.1892508,0.088667,500.0,2024
2024-11-29,0.1330150871839167,0.2129622,0.1037127499999999,500.0,2024
2024-12-31,0.06922204689608197,0.13848939999999998,0.06460475000000002,500.0,2024
2025-01-31,0.0760828720701673,0.16942249999999998,0.088257,500.0,2025
2025-02-28,0.08612005972611815,0.2050681,0.1025275,500.0,2025
2025-03-31,0.07935244120483652,0.18930880000000005,0.10179075,500.0,2025
2025-04-30,0.08048280210886653,0.1797438,0.093379,500.0,2025
2025-05-30,0.11880220822929097,0.21814850000000002,0.0948665,500.0,2025
2025-06-30,0.09676669008242632,0.1748898,0.08162475000000001,500.0,2025
2025-07-31,0.09090816028573744,0.20073950000000002,0.09570300000000001,500.0,2025
2025-08-29,0.08779888749173013,0.17964950000000002,0.0941295,500.0,2025
2025-09-30,0.10760109125322691,0.1954908,0.09050225,500.0,2025
2025-10-31,0.11204282003659412,0.2362866000000001,0.11258399999999999,500.0,2025
2025-11-28,0.09921931066485523,0.2101172,0.0979405,500.0,2025
2025-12-31,0.07733465718832634,0.17006020000000002,0.078126,500.0,2025
