combo,n_features,fold,hmm_seed,n_xgb_seeds,val_ir,val_sharpe,n_val_months,hmm_sec,xgb_sec
DD+TERM,2,110,2,5,2.832263654310766,1.9238168922500802,12,76.8,26.6
DD+TERM,2,110,3,5,2.923464944415779,1.916357546949169,12,77.2,26.6
DD+TERM,2,111,1,5,-2.368632567585878,-0.554623229570749,12,79.7,27.9
DD+TERM,2,111,2,5,-2.568074317979424,-0.6586242255867651,12,79.6,27.8
DD+TERM,2,111,3,5,-2.3759446452491364,-0.5336920748851475,12,80.2,27.7
DD+TERM,2,112,1,5,0.9414830017008379,0.26137959755138657,12,81.9,28.4
DD+TERM,2,112,2,5,0.7343850798575562,0.170918822918331,12,82.5,28.7
DD+TERM,2,112,3,5,1.0073922049462398,0.28505114956876954,12,81.7,28.4
DD+TERM,2,113,1,5,1.6473898693897577,1.9093529154776088,12,85.1,29.0
DD+VOL+SKEW,3,1,1,5,0.01452386020652827,0.9491758367639117,24,17.2,7.1
DD+TERM,2,113,2,5,2.3595927324028865,2.3667950568740563,12,84.5,29.8
DD+VOL+SKEW,3,1,2,5,0.09532740091161591,0.9705360180767324,24,17.5,7.1
DD+VOL+SKEW,3,1,3,5,0.004592618183501832,0.9183885161066863,24,17.2,7.3
DD+TERM,2,113,3,5,2.004849700912983,2.183559106645451,12,85.1,29.8
DD+TERM,2,114,1,5,1.87841600867019,2.533894675156388,12,88.0,30.8
DD+VOL+SKEW,3,2,1,5,0.5890325861062831,0.6016667004760772,24,22.2,9.0
DD+VOL+SKEW,3,2,2,5,0.3938192850379184,0.4527698306708807,24,22.6,8.8
DD+VOL+SKEW,3,2,3,5,0.5840975016514172,0.5983014063703881,24,22.1,9.0
DD+TERM,2,114,2,5,1.2110205007673989,2.0006450451745343,12,86.9,31.0
DD+VOL+SKEW,3,3,1,5,-0.39700337367977667,-0.6836681958074143,24,27.8,10.4
DD+TERM,2,114,3,5,1.8469219024573893,2.4812590489959017,12,88.1,30.6
DD+VOL+SKEW,3,3,2,5,-0.6648219089915287,-0.8826432499920981,24,28.0,10.2
DD+VOL+SKEW,3,3,3,5,-0.5359557220166786,-0.8080478676184294,24,27.6,10.3
DD+VOL+SKEW,3,4,1,5,0.948260996717454,1.636976455519858,24,33.0,12.0
DD+VOL+SKEW,3,4,2,5,0.7193140733624922,1.4611667565438187,24,32.5,11.9
DD+VOL+SKEW,3,4,3,5,0.7532785011147808,1.514322188101523,24,32.4,11.8
DD+VOL+SKEW,3,5,1,5,0.6247392384070476,1.4459648337814175,24,38.2,13.6
DD+VOL+SKEW,3,5,2,5,1.5256344140133897,1.8707590342487395,24,37.6,13.7
DD+VOL+SKEW,3,5,3,5,0.48266776007925344,1.3379543104344689,24,38.3,13.7
DD+VOL+SKEW,3,6,1,5,0.21291806601724556,-0.1595074165475651,30,43.0,15.6
DD+VOL+SKEW,3,6,2,5,0.03604215188939673,-0.2557126731436769,30,43.0,15.6
DD+VOL+SKEW,3,6,3,5,0.2675771953091757,-0.12695145630984786,30,43.1,15.7
DD+VOL+SKEW,3,7,1,5,1.49050086080474,1.6658158161301317,18,49.4,17.2
DD+VOL+SKEW,3,7,2,5,1.2052070573424034,1.5110502565263992,18,49.9,17.5
DD+VOL+SKEW,3,7,3,5,1.320627127929994,1.5962367976375464,18,49.6,17.6
DD+VOL+SKEW,3,101,1,5,0.18263539035544665,0.2624779953997298,12,54.1,18.7
DD+VOL+SKEW,3,101,2,5,0.2687798885811794,0.30035014356652406,12,53.3,18.9
DD+VOL+SKEW,3,101,3,5,-0.08806283150744054,0.13236356437006938,12,53.8,18.9
DD+VOL+SKEW,3,102,1,5,0.04339422872079927,1.131144421784986,12,55.8,19.9
DD+VOL+SKEW,3,102,2,5,-1.1967069454857526,0.5537223479530722,12,56.0,20.0
DD+VOL+SKEW,3,102,3,5,-1.5852144782260924,0.46314309231027045,12,56.7,19.6
DD+VOL+SKEW,3,103,1,5,2.1065655760602575,2.89828858734068,12,59.0,20.4
DD+VOL+SKEW,3,103,2,5,1.7614748316600775,3.178195322498095,12,59.4,20.7
DD+VOL+SKEW,3,103,3,5,1.9382626376809473,3.4781302135671437,12,59.0,20.8
DD+VOL+SKEW,3,104,1,5,-0.1775461913948512,0.8579155295846498,12,62.1,21.7
DD+VOL+SKEW,3,104,2,5,-0.21156477077589309,0.7488803582848796,12,61.5,21.8
DD+VOL+SKEW,3,104,3,5,-0.3807912764964554,0.5916266122347702,12,61.0,21.4
DD+VOL+SKEW,3,105,1,5,-2.396397928509157,-0.9295779148850579,12,63.8,22.1
