date,year,rule,combo,strat_ret,bench_ret,pi
2013-04-30,2013,argmax,DD+VOL,0.04168685384305912,0.026600366829474406,0.003923863459537802
2013-05-31,2013,argmax,DD+VOL,-0.030075137630434404,-0.012994067839781272,0.00154495382121144
2013-06-28,2013,argmax,DD+VOL,0.09327155065650719,0.05522835995467278,0.005223316976840859
2013-07-31,2013,argmax,DD+VOL,-0.015366221275634123,-0.02691348053178278,0.0004847222764919498
2013-08-30,2013,argmax,DD+VOL,0.0732707054958251,0.03576475361041438,0.0023793162075031004
2013-09-30,2013,argmax,DD+VOL,0.04398102915690386,0.043218903217536776,0.0007232377046834987
2013-10-31,2013,argmax,DD+VOL,0.029773677866059663,0.030105844067958167,0.002164972327939463
2013-11-29,2013,argmax,DD+VOL,0.015008855468967927,0.026797828600796086,0.0008576966099228155
2013-12-31,2013,argmax,DD+VOL,-0.026656478565067834,-0.03352396174525577,0.0008371016400135291
2014-01-31,2014,rule_r,DD,0.08389678487901378,0.046821027006793796,0.007064807252406159
2014-02-28,2014,rule_r,DD,-0.06408034742811076,0.0052469389781009505,0.0024227006088750223
2014-03-31,2014,rule_r,DD,-0.00599098911059427,0.0022522670847935434,0.0022047218642093384
2014-04-30,2014,rule_r,DD,0.025517454543163443,0.021543210709512782,0.002194528051916567
2014-05-30,2014,rule_r,DD,0.02613226342085378,0.02360180203153411,0.0021940514094463503
2014-06-30,2014,rule_r,DD,-0.016016336060535815,-0.017066743442836037,0.0021940291218835507
2014-07-31,2014,rule_r,DD,0.054394843374660946,0.042837365547286954,0.003354531246404991
2014-08-29,2014,rule_r,DD,-0.03180044751505553,-0.01716591455215501,0.00224833913208048
2014-09-30,2014,rule_r,DD,0.015737028980441152,0.024001958258787523,0.004635228297962007
2014-10-31,2014,rule_r,DD,0.026182265256107413,0.027953573410198974,0.0022018100934747802
2014-11-28,2014,rule_r,DD,-0.00553824448063498,-0.002429301709124216,0.002194391654834981
2014-12-31,2014,rule_r,DD,0.011191887293757677,-0.030075907139377203,0.0020989107591048604
2014-01-31,2014,argmax,DD+VOL,0.08267310695064803,0.046821027006793796,0.005324015954334693
2014-02-28,2014,argmax,DD+VOL,-0.0808007546864003,0.0052469389781009505,0.002495774778634267
2014-03-31,2014,argmax,DD+VOL,-0.01172934934303489,0.0022522670847935434,0.0013310609353473597
2014-04-30,2014,argmax,DD+VOL,0.03405091655819994,0.021543210709512782,0.002833428044416457
2014-05-30,2014,argmax,DD+VOL,0.03601553146259765,0.02360180203153411,0.0006885069512596339
2014-06-30,2014,argmax,DD+VOL,-0.008662668968852774,-0.017066743442836037,0.00028128092296982743
2014-07-31,2014,argmax,DD+VOL,0.0623363286481745,0.042837365547286954,0.0017628341572763508
2014-08-29,2014,argmax,DD+VOL,-0.044776509478996696,-0.01716591455215501,0.0005221784045481951
2014-09-30,2014,argmax,DD+VOL,0.030403960117713635,0.024001958258787523,0.0020514564047304697
2014-10-31,2014,argmax,DD+VOL,0.040262632248613074,0.027953573410198974,0.006509453307420255
2014-11-28,2014,argmax,DD+VOL,-0.01026948335272146,-0.002429301709124216,0.0002854558930336567
2014-12-31,2014,argmax,DD+VOL,0.0016235509108408523,-0.030075907139377203,0.0038241774867468197
2015-01-30,2015,rule_r,DD,0.05337760570930808,0.06062197579617006,0.007670817202743643
2015-02-27,2015,rule_r,DD,-0.011744695716192705,-0.013037936408476164,0.0023497390588053564
2015-03-31,2015,rule_r,DD,0.04710782833461718,0.007893736713069775,0.0021256380866070085
2015-04-30,2015,rule_r,DD,0.03899460566775596,0.013203209399164504,0.0020334236480473193
2015-05-29,2015,rule_r,DD,-0.037937652745138724,-0.01708589930476988,0.002088323446952733
2015-06-30,2015,rule_r,DD,-0.034608140118864095,0.01871750766750916,0.0030150438039662593
2015-07-31,2015,rule_r,DD,-0.05316641490967594,-0.0603375226593106,0.0020540983247072566
2015-08-31,2015,rule_r,DD,-0.06200796923532448,-0.027571118284330162,0.8329060165842433
2015-09-30,2015,rule_r,DD,0.07685132920777536,0.0786870695788067,0.9999998724655803
