date,mom_1,mom_2,mom_3,mom_4,mom_5,mom_6,mom_7,mom_8,mom_9,mom_10,mom_11,mom_12
2019-02-28,-0.7339,-0.0521,0.1862,0.3915,0.3378,0.4115,0.4088,0.5077,0.6287,0.6181,0.5118,0.3756
2019-03-29,-0.0720,0.4713,0.3722,0.3486,0.4766,0.6950,0.9701,0.8771,0.9454,0.9612,0.9212,0.6932
2019-04-30,-0.2717,-0.1034,-0.1422,-0.2226,-0.2084,-0.0452,0.1272,0.4119,0.1548,0.2099,0.2205,0.0510
2019-05-31,-0.0334,0.2965,0.3046,0.4265,0.4926,0.6357,0.6752,0.7752,0.8063,0.6179,0.6196,0.4721
2019-06-28,-0.6132,-0.5879,-0.6358,-0.6529,-0.3859,-0.4752,-0.4744,-0.4696,-0.5184,-0.4996,-0.5245,-0.6209
2019-07-31,-0.2970,0.4849,0.2826,0.2036,0.2795,0.4701,0.3728,0.4909,0.3844,0.3479,0.3075,0.1525
2019-08-30,-0.7385,-0.5913,-0.6137,-0.5738,-0.3277,-0.0967,0.0961,0.1004,0.0688,-0.0024,0.0118,-0.1456
2019-09-30,-0.6107,-0.7281,-0.8033,-0.8200,-0.6944,-0.3912,-0.2100,0.0220,-0.0599,-0.2114,-0.2843,-0.4183
2019-10-31,-0.4916,-0.2375,-0.4893,-0.4443,-0.3533,-0.2020,-0.0006,0.2224,0.4258,0.1977,0.0926,-0.2878
2019-11-29,-0.3493,-0.3432,-0.2524,-0.3402,-0.2549,0.0599,0.2207,0.4613,0.5602,0.6039,0.5956,0.2955
2019-12-31,-0.2244,-0.2843,-0.4434,-0.3745,-0.3093,-0.1444,-0.0026,0.1091,0.1722,0.1782,0.2537,0.0044
2020-01-31,-0.2358,0.0285,-0.0539,-0.1905,0.1320,0.2895,0.3643,0.5405,0.5560,0.4898,0.5499,0.1796
2020-02-28,0.2908,0.5163,0.3983,0.3668,0.3079,0.5664,0.6115,0.6370,0.6578,0.6937,0.7434,0.6590
2020-03-31,-0.2724,0.1770,0.2228,0.2286,0.2562,0.2178,0.2105,0.1437,0.1188,0.0617,0.0668,-0.0356
2020-04-30,-2.0577,-1.8599,-1.1827,-1.0956,-1.0794,-0.9976,-1.0973,-1.1056,-1.0326,-0.9425,-0.9935,-0.9686
2020-05-29,-0.4982,0.9348,1.2160,1.0503,1.0559,1.0808,0.9861,0.9785,0.9990,0.9071,0.8194,0.7669
2020-06-30,0.2757,0.5105,-0.5500,-0.7904,-0.7326,-0.6362,-0.5564,-0.4750,-0.4153,-0.3733,-0.4274,-0.4717
2020-07-31,0.4807,0.7001,0.6996,0.5846,0.6849,0.6764,0.6837,0.7283,0.6763,0.6463,0.5782,0.4803
2020-08-31,-0.0073,-0.0365,-0.2359,-0.1993,-0.2316,-0.2740,-0.3462,-0.3890,-0.4686,-0.5226,-0.5519,-0.6509
2020-09-30,-0.1705,0.1632,0.0986,0.1496,0.3512,0.5359,0.4752,0.2853,0.2831,0.1701,0.1449,0.0288
2020-10-30,0.2004,0.1732,0.2816,0.4118,0.5730,0.6939,0.6521,0.6784,0.4634,0.4391,0.3942,0.2631
2020-11-30,-0.5828,-0.3217,-0.4048,-0.2058,0.1325,0.3942,0.5001,0.6056,0.6667,0.5947,0.6372,0.5578
2020-12-31,0.5467,0.4635,0.3919,0.3170,0.4197,0.6977,0.9211,0.9950,0.6284,0.4837,0.4328,0.3940
2021-01-29,0.6500,0.8309,0.6889,0.6531,0.6844,0.7662,0.9340,1.0662,1.1216,0.7734,0.5487,0.4229
2021-02-26,-0.3025,-0.3850,-0.5130,-0.6760,-0.7806,-0.7023,-0.8102,-0.9651,-1.2330,-1.2262,-1.1876,-1.1631
2021-03-31,-0.4493,-0.4924,-0.5043,-0.9035,-1.0525,-1.1307,-1.0779,-1.1273,-1.3636,-1.5331,-1.5655,-1.5111
2021-04-30,-0.2425,-0.6126,-0.5530,-0.7433,-1.0401,-1.0748,-1.1156,-1.0731,-1.0948,-1.2589,-1.4248,-1.4333
2021-05-28,-0.2364,-0.4965,-0.6458,-0.9242,-0.8286,-1.2254,-1.3223,-1.4341,-1.4943,-1.5065,-1.5926,-1.7629
2021-06-30,-0.5169,-0.5391,-0.5055,-0.7615,-0.8483,-0.8801,-1.1428,-1.2322,-1.3077,-1.3257,-1.2550,-1.3638
2021-07-30,0.0734,0.1590,0.1929,0.1082,0.2227,0.0870,0.1072,0.1375,0.0182,-0.2101,-0.3575,-0.5370
2021-08-31,0.2467,-0.0576,-0.2152,-0.3965,-0.4683,-0.7245,-0.9760,-1.2047,-1.5697,-1.6744,-1.5522,-1.6863
2021-09-30,-0.4802,-0.4693,-0.6262,-0.9386,-0.9447,-1.0822,-1.2936,-1.3085,-1.4670,-1.6990,-1.7504,-1.6868
2021-10-29,-0.6327,-0.8308,-0.8056,-1.0738,-1.4498,-1.2561,-1.5527,-1.8521,-2.0106,-1.8929,-1.9273,-2.1163
2021-11-30,-0.5930,-0.8647,-1.0441,-1.0383,-1.2930,-1.6030,-1.5946,-1.8088,-2.1257,-2.0693,-1.7152,-1.9328
2021-12-31,-0.8795,-1.0980,-1.2295,-1.4980,-1.6042,-1.7173,-2.0125,-2.0304,-2.2337,-2.3491,-2.0456,-1.8345
2022-01-31,-0.6434,-0.6737,-0.7544,-0.9752,-1.2129,-1.1781,-1.2993,-1.4985,-1.4441,-1.6285,-1.6665,-1.7345
2022-02-28,-1.1641,-0.8402,-0.6226,-0.5809,-0.6687,-0.4405,-0.2691,-0.2253,-0.3075,-0.2977,-0.3374,-0.5793
2022-03-31,-0.7092,-0.3891,-0.4213,-0.4586,-0.4814,-0.3598,-0.3451,-0.3132,-0.2890,-0.3041,-0.3191,-0.4573
2022-04-29,0.2747,0.4521,0.2543,0.0598,0.0108,0.1042,0.2640,0.3136,0.1914,0.3408,0.4770,0.3964
2022-05-31,-2.0736,-1.2613,-1.1209,-1.3140,-1.4842,-1.5408,-1.4932,-1.4087,-1.2912,-1.3461,-1.1744,-1.0416
