combo,n_features,fold,hmm_seed,n_xgb_seeds,fee,val_sharpe,n_val_months,hmm_elapsed_sec,xgb_elapsed_sec
DD+VOL+REL_N,3,2,2,5,0.001,0.7278716108634447,24,37.79725217819214,46.608173847198486
DD+VOL+REL_N,3,3,0,5,0.001,-0.4014803115607637,24,46.7690908908844,57.57778310775757
DD+VOL+REL_N,3,3,1,5,0.001,-0.7007217111173011,24,48.13611125946045,59.06506872177124
DD+VOL+REL_N,3,3,2,5,0.001,-0.3195450637841519,24,47.40585708618164,58.491751194000244
DD+VOL+REL_N,3,4,0,5,0.001,1.8177905755798418,24,55.45063519477844,64.80815100669861
DD+VOL+REL_N,3,4,1,5,0.001,2.1192157228064565,24,54.89077687263489,65.35094809532166
DD+VOL+REL_N,3,4,2,5,0.001,1.3551866803975414,24,55.49940204620361,66.50967812538147
DD+VOL+REL_N,3,5,0,5,0.001,0.3601812665994688,24,64.35085487365723,79.03328323364258
DD+VOL+TERM,3,1,0,5,0.001,0.5054460125014173,24,28.906280994415283,38.89588713645935
DD+VOL+REL_N,3,5,1,5,0.001,0.17073307743270838,24,65.79841303825378,80.1858229637146
DD+VOL+TERM,3,1,1,5,0.001,0.6983647781573802,24,28.714116096496582,38.58874201774597
DD+VOL+REL_N,3,5,2,5,0.001,0.7792551806556436,24,65.23619890213013,81.6753180027008
DD+VOL+TERM,3,1,2,5,0.001,0.401742766335291,24,29.042887926101685,36.8099639415741
DD+VOL+TERM,3,2,0,5,0.001,0.45875755155232645,24,37.32996320724487,44.025136947631836
DD+VOL+TERM,3,2,1,5,0.001,-0.059216587980308606,24,37.21442008018494,44.90132808685303
DD+VOL+TERM,3,2,2,5,0.001,-0.21562851298635835,24,37.61394929885864,47.03984475135803
DD+VOL+TERM,3,3,0,5,0.001,-0.48539979536952976,24,46.28982400894165,62.308343172073364
DD+VOL+TERM,3,3,1,5,0.001,-0.5903475485380972,24,46.69689393043518,62.24403190612793
DD+VOL+TERM,3,3,2,5,0.001,-0.06761251195114934,24,46.141090869903564,61.06248188018799
DD+VOL+TERM,3,4,0,5,0.001,0.9821057730687469,24,56.2054328918457,62.53767395019531
DD+VOL+TERM,3,4,1,5,0.001,1.4611086005061082,24,55.41952991485596,64.6567530632019
DD+VOL+TERM,3,4,2,5,0.001,1.1695305986141844,24,56.10136318206787,65.76398921012878
DD+VOL+SKEW,3,1,0,5,0.001,0.0841736935926408,24,30.684502124786377,37.397395849227905
DD+VOL+TERM,3,5,0,5,0.001,0.11857057916064255,24,64.49950385093689,84.28981709480286
DD+VOL+TERM,3,5,1,5,0.001,0.5341959208946853,24,65.18728399276733,85.0532820224762
DD+VOL+TERM,3,5,2,5,0.001,0.5504648263133214,24,64.99594211578369,86.76361608505249
DD+VOL+SKEW,3,1,1,5,0.001,0.6965474305332747,24,30.330518007278442,37.50009512901306
DD+VOL+SKEW,3,1,2,5,0.001,0.3028969760904241,24,29.84406805038452,35.49667000770569
DD+VOL+SKEW,3,2,0,5,0.001,0.7724096379989881,24,37.08279609680176,44.638898849487305
DD+VOL+SKEW,3,2,1,5,0.001,0.2512502560551437,24,36.82354378700256,48.74453806877136
DD+VOL+SKEW,3,2,2,5,0.001,0.4395841029244807,24,37.218318939208984,48.35553312301636
DD+VOL+SKEW,3,3,0,5,0.001,-0.3149063347702788,24,46.2330219745636,58.04513692855835
DD+VOL+SKEW,3,3,1,5,0.001,-0.19647110763432243,24,46.32809805870056,61.11923384666443
DD+VOL+SKEW,3,3,2,5,0.001,-0.397847452467416,24,46.56612205505371,59.47449088096619
DD+VOL+SKEW,3,4,0,5,0.001,0.6437070745037821,24,54.90357279777527,67.04715418815613
DD+VOL+SKEW,3,4,1,5,0.001,0.8022601021781333,24,54.55654692649841,69.86906695365906
DD+VOL+SKEW,3,4,2,5,0.001,0.7874331734719641,24,55.761934995651245,69.5414309501648
DD+VOL+SKEW,3,5,0,5,0.001,0.37995082447199463,24,66.42361998558044,81.09185719490051
DD+CS+LVIX,3,1,0,5,0.001,1.343104383535676,24,29.694397926330566,36.71113586425781
DD+VOL+SKEW,3,5,1,5,0.001,0.11427732686524676,24,67.55972409248352,80.92939186096191
DD+VOL+SKEW,3,5,2,5,0.001,0.01391343753499259,24,68.41967797279358,81.02604413032532
DD+CS+LVIX,3,1,1,5,0.001,0.28014608294183485,24,29.33458709716797,36.367023229599
DD+CS+LVIX,3,1,2,5,0.001,0.4378423705390193,24,28.97121787071228,36.75619101524353
DD+CS+LVIX,3,2,0,5,0.001,0.5194529919864338,24,37.22219800949097,46.62530207633972
DD+CS+LVIX,3,2,1,5,0.001,0.7846685376546141,24,37.1793417930603,45.56380796432495
DD+CS+LVIX,3,2,2,5,0.001,1.0987278349158613,24,37.502050161361694,47.67009997367859
DD+CS+LVIX,3,3,0,5,0.001,-0.22999811493269037,24,46.94367003440857,57.26901698112488
DD+CS+LVIX,3,3,1,5,0.001,-0.4331285446598293,24,46.46852374076843,56.87488579750061
DD+CS+LVIX,3,3,2,5,0.001,-0.4734595136443875,24,47.15418815612793,56.62625789642334
DD+CS+LVIX,3,4,0,5,0.001,1.3911908281231644,24,55.28283095359802,66.92856693267822
DD+CS+LVIX,3,4,1,5,0.001,0.9215534068399551,24,54.79387307167053,68.02428698539734
DD+CS+LVIX,3,4,2,5,0.001,1.1707495985244794,24,55.838146924972534,67.25050687789917
DD+CS+LVIX,3,5,0,5,0.001,-0.25080694163881934,24,66.61498188972473,78.94388771057129
DD+CS+LVIX,3,5,1,5,0.001,0.34858401140512574,24,66.04737424850464,79.4646999835968
DD+CS+LVIX,3,5,2,5,0.001,0.42530047271569144,24,66.43641114234924,79.03921890258789
DD+CS+DISP,3,1,0,5,0.001,0.499376549558698,24,28.86744785308838,35.95193290710449
DD+CS+DISP,3,1,1,5,0.001,1.1162552094687908,24,28.79066824913025,35.693870067596436
DD+CS+DISP,3,1,2,5,0.001,0.05840535715076998,24,29.08872699737549,35.12049984931946
DD+CS+DISP,3,2,0,5,0.001,0.11425806199304817,24,37.75922703742981,47.65759611129761
DD+CS+DISP,3,2,1,5,0.001,-0.29565177842746654,24,37.05792307853699,48.26573705673218
DD+CS+DISP,3,2,2,5,0.001,0.30168399375712507,24,37.79789185523987,49.296147108078
DD+CS+DISP,3,3,0,5,0.001,-0.4294330000616113,24,46.85014605522156,59.388492822647095
DD+CS+DISP,3,3,1,5,0.001,-0.2576655492268794,24,47.083207845687866,58.3857319355011
DD+CS+DISP,3,3,2,5,0.001,-0.42211497017179156,24,47.70209574699402,57.08861422538757
DD+CS+DISP,3,4,0,5,0.001,1.1947760163114294,24,55.8474223613739,67.68438768386841
DD+CS+DISP,3,4,1,5,0.001,1.5886640127521263,24,54.7235689163208,67.83672404289246
DD+CS+DISP,3,4,2,5,0.001,0.9913586804178369,24,55.753597021102905,69.78284072875977
DD+CS+DISP,3,5,0,5,0.001,0.12906759775564922,24,65.09986186027527,80.56943011283875
DD+CS+DISP,3,5,1,5,0.001,0.04054603654711591,24,64.85037469863892,80.2340669631958
