name,combo,sh_xgb,sh_lr,min_ess,n_sig
DD+VOL+CS+SKEW,"['DD_z', 'VOL_z', 'CS_z', 'SKEW_z']",0.4204978541627345,-0.04628635423257469,251.40794262811522,4
DD+CS+ADR+SKEW,"['DD_z', 'CS_z', 'ADR_z', 'SKEW_z']",0.41983320509997757,-0.04855363207019513,1191.996928027823,4
DD+VOL+CS+LVIX,"['DD_z', 'VOL_z', 'CS_z', 'LVIX_z']",0.4194532381130088,-0.04564312923162746,705.4256133135399,4
DD+DISP,"['DD_z', 'DISP_z']",0.41043421472915487,-0.05433136012046401,1015.4373649211216,2
DD+VOL+DISP+CS,"['DD_z', 'VOL_z', 'DISP_z', 'CS_z']",0.3850054766537752,-0.055231303218078204,137.21982239198275,4
DD+VOL+SKEW,"['DD_z', 'VOL_z', 'SKEW_z']",0.35710543284132484,-0.06279027710763188,748.7574105239263,3
DD+CS+LVIX+TERM,"['DD_z', 'CS_z', 'LVIX_z', 'TERM_z']",0.3335514184851406,-0.06076996948889096,1131.4163507906464,4
DD+CS+LVIX,"['DD_z', 'CS_z', 'LVIX_z']",0.3278953623213771,-0.058168346271574134,739.1838872344364,3
DD+VOL+DISP+SKEW,"['DD_z', 'VOL_z', 'DISP_z', 'SKEW_z']",0.32224987406778816,-0.07477691790827776,269.8753482713694,4
DD+REL_N+LVIX+TERM,"['DD_z', 'REL_N_z', 'LVIX_z', 'TERM_z']",0.30568983791809057,-0.10645503202609116,1060.7880654365536,3
