name,combo,n_feat,has_nfci,passed,min_ess,n_sig,ll,pi_Dot-com,pi_GFC,pi_COVID,pi_Non-crisis,pi_Calm 2013-19
DD+REL_N+ADR+NFCI,"['DD_z', 'REL_N_z', 'ADR_z', 'NFCI_z']",4,True,True,429.4817640911132,3,-778.4146018741571,0.9127676295045914,0.9937737683198717,0.7610924302579815,0.10453439430069535,0.08391179734012957
DD+REL_N+SKEW+TERM,"['DD_z', 'REL_N_z', 'SKEW_z', 'TERM_z']",4,False,False,59.60024452063609,3,-1156.3736093474781,0.7441496069084593,0.85150905335583,0.48700050975318737,0.4077198635109869,0.17645134558029735
DD+REL_N+SKEW+NFCI,"['DD_z', 'REL_N_z', 'SKEW_z', 'NFCI_z']",4,True,True,995.4040967721575,4,-812.8406654933408,0.9972995259773089,0.9999788487162101,0.7119143859258455,0.12134770186357786,0.0650211928012188
DD+REL_N+TERM+NFCI,"['DD_z', 'REL_N_z', 'TERM_z', 'NFCI_z']",4,True,True,920.4855491540234,4,-814.3228828707623,0.7427438788864892,0.9985158201678278,0.6439334520977211,0.3416478305901854,0.053476538416543366
DD+CS+LVIX+ADR,"['DD_z', 'CS_z', 'LVIX_z', 'ADR_z']",4,False,True,1039.1172387984345,4,-960.4455995038236,0.8583542448881418,0.874637199044006,0.7795016799888292,0.11009529811973578,0.1532547437058331
DD+CS+LVIX+SKEW,"['DD_z', 'CS_z', 'LVIX_z', 'SKEW_z']",4,False,True,721.0276513382687,4,-994.0628828738832,0.9973094153839698,0.9696566576860495,0.7500004845162382,0.132509688540687,0.12625560278102904
DD+CS+LVIX+TERM,"['DD_z', 'CS_z', 'LVIX_z', 'TERM_z']",4,False,True,1131.4163507906464,4,-1007.5913362458217,0.7420641832309205,0.877024265021543,0.7527341030291165,0.27450136050628376,0.14717345209924104
DD+CS+LVIX+NFCI,"['DD_z', 'CS_z', 'LVIX_z', 'NFCI_z']",4,True,True,155.00741819226724,4,-648.9704928874021,0.9003197819033023,0.9509921141844335,0.890544722141628,0.10045583197651997,0.1605306804073225
DD+CS+ADR+SKEW,"['DD_z', 'CS_z', 'ADR_z', 'SKEW_z']",4,False,True,1191.996928027823,4,-1027.9502589352182,0.891016862673706,0.8970403258120573,0.7499999944106976,0.10024034099340513,0.12989803910836148
DD+CS+ADR+TERM,"['DD_z', 'CS_z', 'ADR_z', 'TERM_z']",4,False,True,297.173091208925,3,-1051.5935967722917,0.7552025404284449,0.8599261748473699,0.7570652761413061,0.09857889978442343,0.1376952382688743
DD+CS+ADR+NFCI,"['DD_z', 'CS_z', 'ADR_z', 'NFCI_z']",4,True,True,649.8405108300956,4,-726.5313057845917,0.8821301174876732,0.9453733301471587,0.9311700011658647,0.08621278850485185,0.1837336958290502
DD+CS+SKEW+TERM,"['DD_z', 'CS_z', 'SKEW_z', 'TERM_z']",4,False,True,93.03990005334741,4,-1070.711380868841,0.8821890222296802,0.9038092202134338,0.7499997376907699,0.09510236595862215,0.1305314175290153
DD+CS+SKEW+NFCI,"['DD_z', 'CS_z', 'SKEW_z', 'NFCI_z']",4,True,True,456.8190173447101,4,-755.1499053145453,0.9730748709211019,0.9979919205683687,0.7500000235286362,0.08969032651268466,0.13094918611853015
DD+CS+TERM+NFCI,"['DD_z', 'CS_z', 'TERM_z', 'NFCI_z']",4,True,True,143.66543623051825,4,-745.6075572709901,0.7561746416454781,0.9256094969863738,0.7624398234555426,0.0923792059903114,0.14119292521064578
DD+LVIX+ADR+SKEW,"['DD_z', 'LVIX_z', 'ADR_z', 'SKEW_z']",4,False,True,186.42855562175296,4,-1121.1674362916924,0.9314583485758192,0.8915381384610483,0.7499821434139834,0.10088711407387602,0.10331799659277
DD+LVIX+ADR+TERM,"['DD_z', 'LVIX_z', 'ADR_z', 'TERM_z']",4,False,True,1182.9664945777824,4,-1140.991640212093,0.9993897489703276,0.9981488658715847,0.9370060638586023,0.09739303945060927,0.16085610422877916
DD+LVIX+ADR+NFCI,"['DD_z', 'LVIX_z', 'ADR_z', 'NFCI_z']",4,True,True,398.42246875362537,4,-825.3300490725229,0.907303941686226,0.9552686874826396,0.7900801690891024,0.09570274433321742,0.1065952197473073
DD+LVIX+SKEW+TERM,"['DD_z', 'LVIX_z', 'SKEW_z', 'TERM_z']",4,False,True,625.6907275540049,4,-1157.173754253276,0.9996751526128476,0.9992257161242908,0.750007150826027,0.0948861906231027,0.12028898322705539
DD+LVIX+SKEW+NFCI,"['DD_z', 'LVIX_z', 'SKEW_z', 'NFCI_z']",4,True,True,627.6170093771898,4,-855.4526843027896,0.9935522105652702,0.9996288301255006,0.7478660651909161,0.09394680865418355,0.07884266056960361
DD+LVIX+TERM+NFCI,"['DD_z', 'LVIX_z', 'TERM_z', 'NFCI_z']",4,True,True,877.9842437533628,4,-869.6052828521179,0.742476579315935,0.9478536868833622,0.7029795309619136,0.10409010494270714,0.06218157722290537
DD+ADR+SKEW+TERM,"['DD_z', 'ADR_z', 'SKEW_z', 'TERM_z']",4,False,True,1067.428245706487,4,-1187.6181445167758,0.9208357206715758,0.8828717028554625,0.7499997812770622,0.10335832297802298,0.14110380516346158
DD+ADR+SKEW+NFCI,"['DD_z', 'ADR_z', 'SKEW_z', 'NFCI_z']",4,True,True,502.1153388834298,4,-920.684680258254,0.9475502987332538,0.958269436721037,0.7499998675056394,0.09848454337537405,0.13285216437802747
DD+ADR+TERM+NFCI,"['DD_z', 'ADR_z', 'TERM_z', 'NFCI_z']",4,True,True,1038.8183493449822,3,-964.7081112364381,0.7494588824446019,0.9204271160448665,0.7508917675508477,0.10039303133210233,0.11164618159663214
DD+SKEW+TERM+NFCI,"['DD_z', 'SKEW_z', 'TERM_z', 'NFCI_z']",4,True,True,705.2611546070129,3,-971.7738701768299,0.966880191703835,0.9969898186223556,0.7488696394062968,0.08742275702195117,0.10575711128469202
